

☘️欧美,#genre#


BBC NEWS,http://nor2live.win:80/livehttpplay?channel_id=16531
BBC_Earth,http://iptv.4666888.xyz/iptv2A.php?id=53
BLOOMBERG HD,http://nor2live.win:80/livehttpplay?channel_id=16530
CBS News 24/7 (720p),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master.m3u8
CBS News Baltimore (720p),https://lineup.cbsivideo.com/playout/8877a7d5-b094-4ac8-bc72-75a5fed68e5b/index.m3u8
CBS News Bay Area (720p),https://cbsn-sf.cbsnstream.cbsnews.com/out/v1/dac63c1abb3f4a2dac9f508f44bb072a/master.m3u8
CBS News Boston (720p),https://cbsn-bos.cbsnstream.cbsnews.com/out/v1/589d66ec6eb8434c96c28de0370d1326/master.m3u8
CBS News Chicago (720p),https://cbsn-chi.cbsnstream.cbsnews.com/out/v1/b2fc0d5715d54908adf07f97d2616646/master.m3u8
CBS News Detroit (720p),https://cbsn-det.cbsnstream.cbsnews.com/out/v1/169f5c001bc74fa7a179b19c20fea069/master.m3u8
CBS News Los Angeles (720p),https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8
CBS News Miami (720p),https://cbsn-mia.cbsnstream.cbsnews.com/out/v1/ac174b7938264d24ae27e56f6584bca0/master.m3u8
CBS News Minnesota (720p),https://cbsn-min.cbsnstream.cbsnews.com/out/v1/76518f06941246ba810c8d175600bf74/master.m3u8
CBS News New York (720p),https://cbsn-ny.cbsnstream.cbsnews.com/out/v1/ec3897d58a9b45129a77d67aa247d136/master.m3u8
CBS News Philadelphia (720p),https://cbsn-phi.cbsnstream.cbsnews.com/out/v1/5c9ad3e215984b0e9ad845b335216b72/master.m3u8
CBS News Pittsburgh (720p),https://cbsn-pit.cbsnstream.cbsnews.com/out/v1/6966dabf8150405ab26f854e3cd6a2b8/master.m3u8
CBS News Texas (720p),https://cbsn-dal.cbsnstream.cbsnews.com/out/v1/ffa98bbf7d2b4c038c229bd4d9122708/master.m3u8
CBS SPORTS USA,http://nor1live.win:80/livehttpplay?channel_id=23132
Camp Spoopy (576p),https://stream.ads.ottera.tv/playlist.m3u8?network_id=269
CityNews Calgary (720p),https://citynewsregional.akamaized.net/hls/live/1024053/Regional_Live_8/master.m3u8
CityNews Toronto (720p),https://citynewsregional.akamaized.net/hls/live/1024052/Regional_Live_7/master.m3u8
CityNews Vancouver (720p),https://citynewsregional.akamaized.net/hls/live/1024054/Regional_Live_9/master.m3u8
FOX DEPORTES USA,http://nor1live.win:80/livehttpplay?channel_id=23134
FOX PREMIUM HD,http://nor1live.win:80/livehttpplay?channel_id=23054
FOX SPORTS 3 HD,http://nor1live.win:80/livehttpplay?channel_id=23055
FOXSPORTS 2 HD,http://nor2live.win:80/livehttpplay?channel_id=23249
FOXSPORTS 3 HD,http://nor2live.win:80/livehttpplay?channel_id=23250
FOXSPORTS HD,http://nor2live.win:80/livehttpplay?channel_id=23248
FOXSPORTS PREMIUM HD,http://nor2live.win:80/livehttpplay?channel_id=23251
FS1 FOXSPORTS 1 US,http://nor1live.win:80/livehttpplay?channel_id=23131
